iter	Passed	Remaining
0	88	132846
1	185	139132
2	251	125312
3	343	128585
4	415	124116
5	522	130044
6	558	119226
7	591	110280
8	623	103253
9	659	98198
10	688	93218
11	718	89129
12	751	85945
13	783	83117
14	815	80715
15	846	78471
16	881	76904
17	913	75201
18	929	72480
19	961	71170
20	997	70279
21	1032	69334
22	1064	68329
23	1097	67472
24	1131	66777
25	1169	66282
26	1205	65772
27	1238	65095
28	1271	64482
29	1306	64025
30	1319	62515
31	1352	62060
32	1363	60617
33	1400	60374
34	1454	60875
35	1508	61361
36	1563	61822
37	1619	62307
38	1669	62526
39	1708	62350
40	1747	62180
41	1787	62064
42	1828	61948
43	1861	61597
44	1898	61386
45	1937	61238
46	2015	62296
47	2057	62253
48	2099	62172
49	2141	62092
50	2204	62643
51	2253	62750
52	2289	62508
53	2324	62241
54	2360	62024
55	2397	61812
56	2429	61504
57	2467	61354
58	2502	61120
59	2534	60821
60	2571	60653
61	2640	61251
62	2682	61192
63	2720	61031
64	2755	60840
65	2793	60687
66	2829	60519
67	2868	60399
68	2906	60274
69	2938	60027
70	2970	59785
71	3002	59543
72	3036	59355
73	3070	59171
74	3106	59020
75	3142	58873
76	3175	58692
77	3210	58536
78	3244	58359
79	3277	58166
80	3309	57974
81	3347	57891
82	3384	57782
83	3423	57706
84	3462	57647
85	3497	57497
86	3514	57085
87	3545	56896
88	3577	56710
89	3610	56563
90	3642	56398
91	3674	56242
92	3707	56088
93	3738	55913
94	3771	55777
95	3807	55684
96	3840	55553
97	3874	55426
98	3906	55277
99	3940	55168
100	3972	55027
101	4004	54885
102	4037	54760
103	4069	54623
104	4101	54497
105	4134	54368
106	4165	54232
107	4198	54116
108	4233	54029
109	4263	53880
110	4295	53746
111	4329	53652
112	4360	53526
113	4394	53422
114	4429	53340
115	4461	53226
116	4491	53089
117	4521	52957
118	4553	52848
119	4584	52725
120	4616	52615
121	4652	52547
122	4693	52544
123	4726	52447
124	4759	52352
125	4791	52254
126	4823	52150
127	4856	52055
128	4887	51946
129	4918	51830
130	4950	51731
131	4980	51618
132	5012	51515
133	5045	51438
134	5081	51381
135	5112	51278
136	5144	51178
137	5177	51102
138	5211	51023
139	5218	50695
140	5251	50620
141	5274	50441
142	5286	50162
143	5316	50060
144	5347	49975
145	5380	49896
146	5412	49813
147	5444	49732
148	5475	49649
149	5510	49591
150	5542	49512
